1, 0.21us
2, 0.19us
4, 0.19us
8, 0.19us
16, 0.18us
32, 0.18us
64, 0.18us
128, 0.18us
256, 0.18us
512, 0.18us
1024, 0.18us
2048, 0.18us
4096, 0.18us
8192, 0.18us
16384, 0.18us
32768, 5.524us
65536, 9.200us
131072, 12.27us
262144, 13.967us
524288, 15.275us
1048576, 16.146us
2097152, 16.526us
4194304, 16.851us
8388608, 16.955us
16777216, 17.72us
33554432, 17.92us
67108864, 17.377us
