1, 88444099
2, 97778183
3, 119986310
4, 133448654
5, 148120319
6, 156375227
7, 169193168
8, 180612643
9, 190522257
10, 201453966
11, 210572131
12, 221043504
13, 241753169
14, 248247869
15, 262414060
16, 272510022
17, 286892639
18, 301736383
19, 316183823
20, 322870797
21, 336933880
22, 361818825
23, 365432663
24, 375765806
25, 389981948
26, 397663842
27, 411501145
28, 428320388
29, 434759545
30, 443628828
31, 458909480
32, 476453748
33, 481392786
34, 488032623
35, 500156060
36, 514426834
37, 527303163
38, 537921488
39, 544998286
