1.000,2.372,2.341,2.344,2.347,2.331,2.358,2.615,2.629,2.625,2.663,2.633,2.667
.500,2.130,2.127,2.178,2.114,2.109,2.106,1.950,1.921,1.952,1.904,1.944,1.951
.250,3.010,2.845,2.737,2.718,2.707,2.729,1.469,1.433,1.457,1.458,1.462,1.453
.125,3.802,3.777,3.739,3.835,3.966,3.736,1.110,1.129,1.128,1.115,1.121,1.112
.062,3.880,4.062,4.179,3.978,3.897,3.893,0.908,0.886,0.908,0.947,0.904,0.909
.031,3.578,3.598,3.630,3.577,3.584,3.646,0.764,0.777,0.781,0.774,0.766,0.772
.015,3.117,3.098,3.143,3.100,3.073,3.085,0.675,0.675,0.682,0.672,0.671,0.669
.007,2.531,2.595,2.577,2.520,2.625,2.607,0.589,0.590,0.593,0.594,0.578,0.599
