1.000,2.146,2.148,2.148,2.160,2.116,2.144
.500,1.556,1.563,1.560,1.548,1.561,1.581
.250,1.181,1.157,1.155,1.151,1.159,1.156
.125,0.887,0.878,0.885,0.879,0.880,0.876
.062,0.697,0.699,0.693,0.692,0.698,0.690
.031,0.581,0.584,0.574,0.580,0.583,0.576
.015,0.496,0.494,0.496,0.505,0.495,0.492
.007,0.429,0.445,0.437,0.434,0.439,0.441
