1, 70749053
2, 69769141
3, 72186484
4, 72471520
5, 75192277
6, 82916024
7, 88168443
8, 95355454
9, 102911591
10, 113049601
11, 122867644
12, 132105404
13, 147237066
14, 160634351
15, 169650062
16, 178734637
17, 194062147
18, 208310679
19, 217955087
20, 226443731
21, 236866101
22, 248358900
23, 260982542
24, 271601810
25, 281844863
26, 293115999
27, 308314736
28, 311914076
29, 324625256
30, 333612265
31, 345234020
32, 359123302
33, 380925319
34, 376080535
35, 393019721
36, 397873157
37, 406480204
38, 419832688
39, 431017684
